livro, codigo,localidade
COZINHA,BR 21-1208,ILHA DO BORORÉ
COZINHA,BR 21-1155,JARDIM DAS FONTES
COZINHA,BR 21-0201,VILA ESPERANÇA
COZINHA,BR 21-0861,VILA ROSCHEL
COZINHA,BR 21-0669,PONTE SECA
COZINHA,BR 21-0931,RECANTO ANA MARIA
COZINHA,BR 21-0758,RECANTO DOS NOBRES
COZINHA,BR 21-0689,VARGEM GRANDE
COZINHA,BR 21-0421,JARDIM ELIANE
COZINHA,BR 21-0167,BARRAGEM
COZINHA,BR 21-0172,CASA GRANDE
COZINHA,BR 21-0180,CHÁCARA MARIETA
COZINHA,BR 21-0626,CHÁCARAS SANTO AMARO
COZINHA,BR 21-0768,CIDADE NOVA AMÉRICA
COZINHA,BR 21-0175,COLÔNIA PAULISTA
COZINHA,BR 21-0165,EMBURA
COZINHA,BR 21-0176,ENGENHEIRO MARSILAC
COZINHA,BR 21-0614,ESTAÇÃO EVANGELISTA DE SOUZA
COZINHA,BR 21-0177,FAZENDA DO SCHUNK
COZINHA,BR 21-0178,INTERLAGOS
COZINHA,BR 21-0179,ITAIM
COZINHA,BR 21-0478,JARDIM DAS FONTES
COZINHA,BR 21-0504,JARDIM DAS LARANJEIRAS
COZINHA,BR 21-0182,JARDIM DOS ÁLAMOS
COZINHA,BR 21-0171,JARDIM DOS VELEIROS
COZINHA,BR 21-0183,JARDIM GUANHEMBU
COZINHA,BR 21-0184,JARDIM IPORANGA
COZINHA,BR 21-0190,JARDIM LALO
COZINHA,BR 21-0527,JARDIM LUCÉLIA
COZINHA,BR 21-0523,JARDIM MARILDA
COZINHA,BR 21-0525,JARDIM SANTA BÁRBARA
COZINHA,BR 21-0388,JARDIM SÃO BERNARDO
COZINHA,BR 21-0627,JARDIM SÃO NORBERTO
COZINHA,BR 21-0524,JARDIM SÃO RAFAEL
COZINHA,BR 21-1055,JARDIM SETE DE SETEMBRO
COZINHA,BR 21-0188,JARDIM TRÊS CORAÇÕES
COZINHA,BR 21-0195,PARELHEIROS
COZINHA,BR 21-0528,PARQUE FLORESTAL
COZINHA,BR 21-0196,PARQUE GRAJAÚ
COZINHA,BR 21-0622,PARQUE RESIDENCIAL COCAIA
COZINHA,BR 21-0204,VILA SÃO JOSÉ
ESPAÇO INFANTIL,BR 21-0622,PARQUE RESIDENCIAL COCAIA
ESPAÇO INFANTIL,BR 21-0188,JARDIM TRÊS CORAÇÕES
ESPAÇO INFANTIL,BR 21-0190,JARDIM LALO
ESPAÇO INFANTIL,BR 21-0523,JARDIM MARILDA
ESPAÇO INFANTIL,BR 21-0180,CHÁCARA MARIETA
ESPAÇO INFANTIL,BR 21-0196,PARQUE GRAJAÚ
ESPAÇO INFANTIL,BR 21-0768,CIDADE NOVA AMÉRICA
ESPAÇO INFANTIL,BR 21-0175,COLÔNIA PAULISTA
ESPAÇO INFANTIL,BR 21-0504,JARDIM DAS LARANJEIRAS
ESPAÇO INFANTIL,BR 21-0172,CASA GRANDE
ESPAÇO INFANTIL,BR 21-0182,JARDIM DOS ÁLAMOS
ESPAÇO INFANTIL,BR 21-0201,VILA ESPERANÇA
ESPAÇO INFANTIL,BR 21-0195,PARELHEIROS
ESPAÇO INFANTIL,BR 21-0421,JARDIM ELIANE
ESPAÇO INFANTIL,BR 21-0171,JARDIM DOS VELEIROS
ESPAÇO INFANTIL,BR 21-0178,INTERLAGOS
ESTACIONAMENTO,BR 21-0689,VARGEM GRANDE
ESTACIONAMENTO,BR 21-0179,ITAIM
ESTACIONAMENTO,BR 21-0388,JARDIM SÃO BERNARDO
ESTACIONAMENTO,BR 21-0524,JARDIM SÃO RAFAEL
ESTACIONAMENTO,BR 21-0504,JARDIM DAS LARANJEIRAS
ESTACIONAMENTO,BR 21-0195,PARELHEIROS
GRUPO MUSICAL,BR 21-0201,VILA ESPERANÇA
GRUPO MUSICAL,BR 21-1208,ILHA DO BORORÉ
GRUPO MUSICAL,BR 21-0689,VARGEM GRANDE
GRUPO MUSICAL,BR 21-0758,RECANTO DOS NOBRES
GRUPO MUSICAL,BR 21-0931,RECANTO ANA MARIA
GRUPO MUSICAL,BR 21-0669,PONTE SECA
GRUPO MUSICAL,BR 21-1155,JARDIM DAS FONTES
GRUPO MUSICAL,BR 21-0204,VILA SÃO JOSÉ
GRUPO MUSICAL,BR 21-0622,PARQUE RESIDENCIAL COCAIA
GRUPO MUSICAL,BR 21-0196,PARQUE GRAJAÚ
GRUPO MUSICAL,BR 21-0528,PARQUE FLORESTAL
GRUPO MUSICAL,BR 21-0195,PARELHEIROS
GRUPO MUSICAL,BR 21-0188,JARDIM TRÊS CORAÇÕES
GRUPO MUSICAL,BR 21-1055,JARDIM SETE DE SETEMBRO
GRUPO MUSICAL,BR 21-0524,JARDIM SÃO RAFAEL
GRUPO MUSICAL,BR 21-0627,JARDIM SÃO NORBERTO
GRUPO MUSICAL,BR 21-0388,JARDIM SÃO BERNARDO
GRUPO MUSICAL,BR 21-0525,JARDIM SANTA BÁRBARA
GRUPO MUSICAL,BR 21-0523,JARDIM MARILDA
GRUPO MUSICAL,BR 21-0527,JARDIM LUCÉLIA
GRUPO MUSICAL,BR 21-0190,JARDIM LALO
GRUPO MUSICAL,BR 21-0184,JARDIM IPORANGA
GRUPO MUSICAL,BR 21-0183,JARDIM GUANHEMBU
GRUPO MUSICAL,BR 21-0171,JARDIM DOS VELEIROS
GRUPO MUSICAL,BR 21-0182,JARDIM DOS ÁLAMOS
GRUPO MUSICAL,BR 21-0504,JARDIM DAS LARANJEIRAS
GRUPO MUSICAL,BR 21-0478,JARDIM DAS FONTES
GRUPO MUSICAL,BR 21-0179,ITAIM
GRUPO MUSICAL,BR 21-0178,INTERLAGOS
GRUPO MUSICAL,BR 21-0177,FAZENDA DO SCHUNK
